Tem;Mr;Sd;Cp;n;IP;LOI;MBI;C_Mpa;T_Mpa;Duw;C_S
10;154.9400972;25.75330737;28.18039216;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;169.055013;26.42183569;28.19656863;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;172.936306;26.34201141;28.19852941;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;148.7577836;25.09475708;28.20245098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;163.271279;25.92293396;28.2122549;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;187.2780645;37.16817898;28.54362745;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;165.0785356;36.12048534;28.54754902;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;173.7744491;36.98857436;28.54215686;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;177.5460692;36.99855239;28.55441176;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;177.2902526;37.73692695;28.55539216;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;201.3843857;50.15958006;28.53088235;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;196.1246123;50.69839393;28.51960784;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;200.04552;50.91791069;28.52941176;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;205.4162942;49.43118353;28.53627451;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;201.3507152;48.85245753;28.52401961;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;205.9331031;62.12324358;28.39803922;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;195.928263;62.70196959;28.39656863;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;213.516112;62.821706;28.39607843;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;207.7403926;61.84385861;28.39215686;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;202.7469681;61.56447364;28.39313725;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;99.00264378;12.75192825;13.76078431;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;106.7643716;12.00357565;13.70294118;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;109.8865323;11.33504733;13.67156863;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;106.7785199;12.06344386;13.60882353;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;115.8180639;12.45258721;13.57843137;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;136.629195;23.78763455;12.11960784;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;126.6580886;23.98719524;12.1245098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;126.3854938;23.79761258;12.11813725;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;128.7236417;24.02710738;12.11029412;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;128.388405;24.80539408;12.10245098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;160.0359466;35.81116627;11.30245098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;153.8921966;37.20809112;11.29509804;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;156.3683381;37.8067732;11.28921569;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;153.3929652;36.25019979;11.27990196;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;139.8120469;34.41424142;11.26372549;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;167.3365056;48.95223787;15.43039216;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;180.2047028;48.09412689;15.4495098;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;173.7331289;49.59083209;15.45343137;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;173.3666875;49.58085405;15.47205882;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;184.1041006;50.13962399;15.49166667;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;181.2111434;63.98913605;14.56519608;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;175.3477623;62.97137652;14.55637255;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;189.1249528;63.17093721;14.54509804;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;174.4142385;61.68421005;14.54019608;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;167.5821474;62.10328751;14.525;0.304992142;0;4;10;2.762667791;3.826003999;1.618302968;0.125
10;141.6743024;12.83982318;37.72254902;0.309988756;0;4;10;2.63401242;2.860429181;1.606668517;0.125
10;128.4968324;12.35135164;37.70686275;0.309988756;0;4;10;2.63401242;2.860429181;1.606668517;0.125
10;139.1075154;12.53079017;37.7;0.309988756;0;4;10;2.63401242;2.860429181;1.606668517;0.125
10;135.2654425;12.63047824;37.68480392;0.309988756;0;4;10;2.63401242;2.860429181;1.606668517;0.125
10;134.3257026;12.69029108;37.65686275;0.309988756;0;4;10;2.63401242;2.860429181;1.606668517;0.125
10;152.5374511;25.47030141;35.82647059;0.309988756;0;4;10;2.63401242;2.860429181;1.606668517;0.125
